"file","seq","title"
"docs/sillyspec/troubleshooting.md","30","30. 两坑：--file-notes 非末步静默丢 / --files 追加不解锁危险拦截（2026-08-22 闭环）"
"docs/sillyspec/troubleshooting.md","31","31. 两坑：关联变更遗留误拦 / tasks.md 追加行落「提案书（Proposal）」占位（2026-08-22 闭环）"
"docs/sillyspec/troubleshooting.md","32","32. 三坑：TaskCard body 章节返工 / design 组合单元格对账过严 / 并发宽严不一致无说明（2026-08-22 闭环）"
"docs/sillyspec/troubleshooting.md","33","33. 三坑：探针5基线失配全量误报 / 子代理未 commit 纯新增文件 apply 炸 / pull 部署噪声落冲突（2026-08-23 闭环）"
"docs/sillyspec/troubleshooting.md","34","34. 五坑：状态机矛盾 / autoCheck 写 worktree / 子模块漏链 / 探针5口径 / 共享主仓竞态（2026-08-23 闭环）"
"docs/sillyspec/troubleshooting.md","35","35. 两坑：并行会话已声明文件误拦 / 四字段模板防线后置（2026-08-23 闭环）"
"docs/sillyspec/troubleshooting.md","36","36. 五坑：doctor 假 re-provisioned / apply 并发互踩+整批跳过 / push 409 内容一致自愈失效（sort TypeError）/ 409 横幅刷屏 / created_at UTC（2026-08-23 闭环）"
"docs/sillyspec/troubleshooting.md","37","37. 四坑：--merge 冲突即 abort / 已 merge 分支误判未落地 / archive 子确认碎 / verify 对账误伤+跨会话杀进程（2026-08-23 闭环）"
"docs/sillyspec/troubleshooting.md","38","38. 三坑：register-repo CRLF 假成功死循环 / 幽灵目录 junction 穿透 / 派生产物旧基线覆盖（2026-08-23 闭环）"
"docs/sillyspec/troubleshooting.md","39","39. 三坑：多行装饰器漏扫端点误报 / 探针1 worktree 路径盲区 / baseline checkpoint 夹带不透明 + FAIL 重验成本无预告（2026-08-24 闭环）"
"docs/sillyspec/troubleshooting.md","40","40. 三坑：主仓在途改动 apply 三路死锁 / stash pop 静默不落地 / review 未声明的执行期偏差拦 apply（2026-08-24 闭环）"
"docs/sillyspec/troubleshooting.md","41","41. 两坑：同名分支冲突死锁+误导删分支 / brainstorm-auto 无模板骨架连环卡字面门（2026-08-24 闭环）"
"docs/sillyspec/troubleshooting.md","42","42. 多会话单工作区混战（固有风险记录，2026-08-24 用户实证归档）"
"docs/sillyspec/troubleshooting.md","43","43. 三坑：跨变更归属排除警告刷屏 / 并行子代理 taskcard CLI 撞 SQLite 锁 / worktree editable-install 越界（2026-08-25 闭环）"
"docs/sillyspec/troubleshooting.md","44","44. 一坑：Git Bash(MSYS) 路径转换污染 quick prose 参数（2026-08-27 闭环）"
"docs/sillyspec/troubleshooting.md","45","45. 一坑：verify 测试对账把含 failed 字样的通过行误判失败行（2026-08-28 闭环）"
"docs/sillyspec/troubleshooting.md","46","46. 一坑：verify 对账把 vitest 捕获块【内容行】误判失败行（2026-08-31 闭环）"
"docs/sillyspec/troubleshooting.md","47","47. 一坑：endpoints artifact 不含挂载前缀 → 探针 5 全量假 missing（2026-08-31 闭环）"
"docs/sillyspec/troubleshooting.md","48","48. 一坑：verify 对账把 pytest warnings summary 误判失败行（2026-09-02 闭环）"
"docs/sillyspec/troubleshooting.md","49","49. 一坑：conditionalWait 步骤 --continue 被 --answer 直接收尾，agent 备好的 --done 落到下一步假完成（2026-09-02 闭环）"
"docs/sillyspec/troubleshooting.md","50","50. 一坑：per-task review 的 base..head 与「主代理统一 commit」模式天然冲突（2026-09-02 闭环）"
"docs/sillyspec/troubleshooting.md","51","51. 一坑：spec-sync 未决冲突期间横幅连环刷屏 + 残留标记永久红标（2026-09-03 闭环）"
"docs/sillyspec/troubleshooting.md","52","52. 三坑：spec 树冲突无「接受服务器版本」/ quick WARNING 审计无解法指引 / 空壳会话只能手工清（2026-09-03 闭环）"
"docs/sillyspec/troubleshooting.md","53","53. 三坑：--done 对不存在 change 静默新建 / progress repair 对双库分裂失明 / docHash 失配忘手动刷新（2026-09-04 闭环）"
"docs/sillyspec/troubleshooting.md","54","54. 一坑：spec-sync 间歇打 ""This operation was aborted"" 像未知异常（2026-09-07 闭环）"
"docs/sillyspec/troubleshooting.md","55","55. 三坑：verify 判账 tail 盲区归因难 / 豁免匹配不剥 ANSI / known_failures 连续链解析脆弱（2026-09-07 闭环）"
"docs/sillyspec/troubleshooting.md","56","56. 归档转换拦截「execute → archive」：--done 直达完成不写 currentStage（2026-09-08 已修复）"
"docs/sillyspec/troubleshooting.md","57","57. 两坑：pre-commit stash-restore 吞常规提交（三现）/ 批量文本替换无 assert 静默流失（2026-09-10 用户实证，workaround 文档化）"
"docs/sillyspec/troubleshooting.md","58","59. 三坑 postmortem：跨仓 worktree 被主仓清理面误删 / 跨仓 baseline checkpoint 卷入外来文件 / 门禁沙箱环境不一致（2026-09-12 用户实证，已修复）"
"docs/sillyspec/troubleshooting.md","59","60. 三坑：门禁沙箱环境缺失必挂（只能 advisory）/ 中断续跑半成品无主 / 回执解析全角缺陷（2026-09-12 用户实证，已修复）"
"docs/sillyspec/troubleshooting.md","60","61. 两坑：门禁快照对 monorepo 依赖布局不可用（四次重试才定位路径）/ baseline checkpoint 卷入 289MB 部署 tar.gz（2026-09-12 用户实证，已修复）"
"docs/sillyspec/troubleshooting.md","61","62. 两坑：审计 fail-closed 误伤并行会话 spec 残留（归档移动/未跟踪脚本）/ gen:types 行尾重写假 M（2026-09-12 用户实证，已修复）"
"docs/sillyspec/troubleshooting.md","62","63. 四坑：review.json 神秘空壳覆写（溯源戳根治）/ pnpm 沙箱必假败（布局探测跳过）/ probe1 NEW: 前缀失配噪声 / bash 长 heredoc 截断（2026-09-12 用户实证，已修复/落档）"
"docs/sillyspec/troubleshooting.md","63","64. apply 与并行会话工作区互相冲掉（2026-09-14 用户实证，已修复/落档）"
"docs/sillyspec/troubleshooting.md","64","65. 两坑：归档后 worktree 被并行会话代劳清理（change 无所有权）/ review 放行通道放进外来文件（2026-09-14 用户实证，护栏方向已立项）"
"docs/sillyspec/troubleshooting.md","65","66. 五坑：execute 双真相门禁口径（worktree 感知收敛）（2026-09-15 用户实证，已修复）"
"docs/sillyspec/troubleshooting.md","66","67. quick/全流程 `--done` 被 spec-sync 网络尾巴拖住分钟级不返回（2026-09-20 用户实证，已修复）"
"docs/troubleshooting.md","67","sillyspec 命令报 `Cannot find module '.../node_modules/sillyspec/bin/sillyspec.js'`"
"docs/troubleshooting.md","68","给 sillyspec 写测试 / 改 CRLF 文件时 Edit 工具失配"
