"ql_id","timestamp","title","root_cause_excerpt","mentions_test"
"ql-20260831-002-f683","2026-08-31 02:51:04","会话上下文窗口用量修复——分母可编辑默认1M兜底+daemon轮末usage补发","本地模型（本机默认/未绑平台供应商）会话前端拿不到provider记录且本地端点协议不暴露窗口大小，分母派生为空显示「—」；daemon轮边界清零pendingUsage把最后一个500ms flush窗口内的usage（含ctx_tokens）静默丢弃，DB实证短轮大量NULL致环分子滞后","false"
"ql-20260830-006-5639","2026-08-30 16:15:27","删除被 23 天前孤儿 claimed lease 永久 409——删除路径前置收敛死 lease","interactive lease 恒 NULL 过期时间（daemon 设计），会话终态后若 daemon 死亡 lease 行无收敛通道，永久停在 claimed；删除守卫盲数 pending/claimed 把死行当在途工作，生产 26 行实证把 delete_runtime 永久 409","true"
"ql-20260828-014-bfef","2026-08-28 13:35:22","list_workers MCP 工具分身状态不收敛（主控拒派）","ql-013 修了两处状态源，第三处镜像 _list_workers_core（MCP list_workers，主控唯一状态查询源）漏改首 run 终态兜底——run d72943d7 日志实证：主控查到 killed 分身显示 running，结论「没有全失败」拒绝用户重新分析请求","true"
"ql-20260828-013-a55b","2026-08-28 13:03:17","团队任务状态永不收敛——分身失败/被杀后任务卡进行中","树内会话的 run 从 derive 输入剔除（防双计），run 终态信息完全丢失：_virtual_status 仅看会话侧——run killed 后会话 ended 无强收标记、run failed 后会话未收敛 active，两种形态虚拟 run 都卡 running（DB 实证 mission 1eae4f7","true"
"ql-20260828-013-1a7d","2026-08-28 12:24:35","CI 红灯清偿：backend-ci mypy 拦门两处 + frontend-ci 九测试文件（machineCandidates mock 债与 Sessi…","backend-ci 被 3d8432d9 两处 mypy 错误拦在 pytest 之前；frontend-ci 失败一半是组件改读 useDaemonMachines 融合候选后测试 mock 未跟、一半是 604c32fa ＋功能菜单收敛未适配旧断言；本地 captcha 两用例红是 .env 开关环境敏感（CI ","true"
"ql-20260828-009-4a13","2026-08-28 10:35:15","派团队状态标签四问题修复（不显示/删除不生效/不可更新/图标色）","DB 实证用户会话首 run 与 mission 创建差 36s——useSessionTeamMissions 仅 hasActive 时轮询，mission 迟到后无刷新机制 chip 永不出现；×仅收起提示不取消（mission 仍在→再派 409）；chip 无更新入口；入口图标品牌色与附件/技能灰黑不一致","true"
"ql-20260828-010-d154","2026-08-28 10:13:48","工作区守护状态徽标误报离线——aggregateDaemonStatus 实例源仅自有，共享绑定 daemon 查不到判离线（列表卡/切换器/移动端三消费方同错）","","false"
"ql-20260828-006-739b","2026-08-28 09:06:24","共享机器会话创建 404 修复——D-012 早退误伤双授权场景","v1 platform 早退在 workspace 授权前 return None，门户无档案直传被一刀切封堵","false"
"ql-20260828-002-f314","2026-08-28 00:13:39","pre-commit hook deny 文案补「整条命令未执行（含 git add）」提示","PreToolUse deny 是工具调用级拦截，复合命令整条未执行，但 deny 理由只说「commit was blocked」——重试只重跑 commit 导致链上 git add 的文件静默漏提交（2026-08-27 QUICKLOG 漏提交实证）","false"
"ql-20260827-019-156b","2026-08-27 22:38:35","后端安全与稳定性缺陷修复批次（重置密码支配权/角色提权链/release 审批门/排队重试 500/弱引用 task/docstring）","多角度缺陷排查实证：重置密码接口把新明文口令回传调用者却不校验支配权，配合 require_permission_any 的任一 workspace 权限放行语义构成超管账号接管链；角色权限改写端无 platform:admin 守卫形成先绑后改的自我提权链；release 审批只数 approve 票且 min_ap","true"
"ql-20260827-016-c3ea","2026-08-27 20:42:39","移动端第三轮UX打磨：禁意外缩放+触摸基线+输入16px+悬浮胶囊底栏+卡片图标容器","用户反馈移动端莫名容易缩放且手感差并给参考效果图；根因是根layout无viewport导出、无触摸基线CSS、输入框字号<16px触发iOS聚焦自动放大，底栏/卡片观感与参考图差距大","true"
"ql-20260827-015-3875","2026-08-27 17:07:21","修复后台任务通知排队刷屏——同会话合并为一条","inject 端点恒 queue_when_busy=True，daemon 后台任务终态唤醒（2s debounce 只盖 2 秒窗）在长轮期间每任务终态入队一条通知，计数只增不减且每条派发后都是一轮完整模型汇报（会话 17f10040 实证）","true"
"ql-20260827-014-d438","2026-08-27 15:56:10","修复 reopen 会话丢供应商凭证致秒回 ended","reopen_session 建 lease 漏写 session_llm_provider_id 且 SESSION_RESUME payload 不带解密 provider_config，daemon 恢复的 SDK 子进程无任何凭证（隔离 CLAUDE_CONFIG_DIR 无本机 OAuth 兜底）Not lo","true"
"ql-20260827-008-3952","2026-08-27 13:33:50","后台子代理完成后自动唤醒主代理汇报","task_notification 只落库+发 UI 事件，不唤醒已结束的主代理 turn——用户必须手动发消息才能拿到汇报（实证会话 2fe664d9：05:30:50 主代理回复已派出后 turn 结束，05:31:22 两条 NOTIFICATION 无人消费）","true"
"ql-20260826-011-6e0f","2026-08-26 18:35:00","Word 预览换 LibreOffice→PDF 管线——OnlyOffice 不支持 docGrid 行网格（公文目录/封面分页漂移根治）","OnlyOffice 编辑器引擎不支持中文文档行网格 docGrid（sdk-all.js 28MB 源码 linePitch/docGrid 零命中实证）——公文封面空段撑页/行高吸附全部失效；字体度量放大补丁实验证明其行高不读 hhea/OS/2 表（1.5x em 零布局变化），字体侧无杠杆。对照实验：Libre","false"
"ql-20260824-017-a6ef","2026-08-24 13:22:21","会话面板技能装载内容不再误入对话正文","Claude Code 装载技能时 SKILL.md 全文以 assistant 文本块注入（[ASSISTANT] Base directory for this skill: 前缀，DB run d01bd6d2 实证），前端 classifySessionLog 把它归 reply，整份技能说明直接刷进对话气泡","true"
"ql-20260822-009-95bc","2026-08-22 22:01:24","修复已结束会话重新打开后被立刻打回 ended 无法续聊（transcript 目录两侧不对称）","create 仅配供应商时隔离 CLAUDE_CONFIG_DIR（未配供应商 transcript 写宿主机 ~/.claude），resume/reload 却无条件强制隔离目录，找不到 jsonl → claude 报错退出 → fail → 会话记回 ended，inject 全 409（部署日志实证 reop","true"
"ql-20260820-009-ee9d","2026-08-20 11:15:11","/sessions 会话直播视图断连后永久卡死（缺内容/卡运行中","SSE 链路三层缺口叠加——backend Redis Pub/Sub 无补发、fetch-sse 有意不自动重连、streamSession onerror 为空且调用方无兜底","true"
"ql-20260819-004-695a","2026-08-19 13:20:49","修复 spec-sync 增量同步的软删行复活缺陷","apply_ops 把 rename 目标路径的 exists=false 软删墓碑当占用判 conflict（2026-08-19 quick 误归档事故卡死主因），add 落软删行走同内容豁免 no-op 留僵尸行。","true"
"ql-20260818-009-c287","2026-08-18 13:25:18","修 spec-sync 增量同步超时（事件循环被阻塞 + 无谓全量 reparse）","① apply_ops 的 write_bytes/mkdir/utime/move 在事件循环上同步执行，Windows bind mount 连写卡死循环数十秒，被卡请求的连接撞 120s idle-in-transaction 超时（db.py:40 ql-20260728-008 前科）；② _compute_","true"
"ql-20260818-001-fc28","2026-08-18 08:38:30","切换供应商/档案 toast 成功但实际没生效（会话 259635ca）","静默切换发空 prompt，daemon 路由三要素校验仍要求 prompt 非空→消息被丢弃（日志实证），DB 切了 daemon 没 reload。","false"
"ql-20260817-008-9043","2026-08-17 15:10:24","会话 3693ae25 选 Kimi 供应商","SESSION_SWITCH_CONFIG 的 providerConfig 构造条件误用 provider_row（仅切供应商时非空）→ 切档案轮发 null → daemon reload 重建 driver 丢供应商 env 回落机器默认网关。DB 全是 Kimi 仅运行态 env 丢（daemon 日志 has","false"
"ql-20260816-003-7e05","2026-08-16 15:40:18","修 daemon 全量测试预存失败 B1 + daemon/服务端中断场景健壮性","B1 固定 sleep(60) 满载误判 + pullPromise 永不 resolve 致 stop 挂死；pending_push 标记只读不写=死代码；19 测试文件 test:8000 DNS 2.3s×2 fetch 致全量 hook 超时。","true"
"ql-20260813-006-f3f0","2026-08-13 22:41:18","排查智能体执行日志 ef9f8b55 已执行完但前端状态没变","close_interactive_run 对所有 change_id 非空+completed 的 run 无差别 enqueue verify gate，quick stage run 被拉跑 sillyspec gate verify，对非 verify 变更（quick 独立 quicklog、change_k","true"
"ql-20260813-007-5fb2","2026-08-13 21:11:34","工作区配置页「同步到服务器」恒失败","后端 docker logs 实证——daemon 把本地 spec 缓存整树打包回灌，后端 apply_sync 解包后把 tar 成员无差别写进 scan_documents.content（PG 文本列）；其中 .runtime/sillyspec.db（SQLite 二进制）含 NUL 字节 0x00，asyn","true"
"ql-20260812-007-d086","2026-08-12 20:43:59","修 daemon preflight Win execSync timeout 杀不掉 npm 孙进程致启动卡死","runCmd/runCmdBoolean execSync+timeout，Win timeout 只杀 npm.cmd 不杀孙 node.exe，npm view 国内慢时卡死 daemon。","true"
"ql-20260728-008-375b","2026-07-28 22:48:06","修阿里云全站周期性卡 17s（idle_in_transaction 超时 10s 误伤长事务）","不是 HTTP/2 也不是 bcrypt（那两个此前已修）。真实链路——`backend/app/core/db.py:40` 给每条 PG 连接下发 `idle_in_transaction_session_timeout=10000`(10s，7-22 性能审计引入，本意防泄漏事务占满连接池)。某些请求开启事务后中","false"
"ql-20260728-001-c979","2026-07-28 01:02:00","修复 main 上 5 个预存后端测试失败（alembic head 快照过期 / provider_config 漏 settings_config 常量 / workbench","(1) test_alembic_single_head 锁死 head==202607270900，auth 变更迁移 202607271700 合法叠在其上致 head 移位误伤；(2) _PROVIDER_CONFIG_FIELDS frozenset 漏 settings_config——llm_provide","true"
"ql-20260713-004-7e2a","2026-07-13 20:44:51","WSL 下 install.sh INSTALL_DIR 用 WSL $USER(=root) 拼 /mnt/c/Users/root/ 不存在 → mkdir Permissio","install.sh WSL 分支（L36-43）`INSTALL_DIR=""/mnt/c/Users/${USER}/.sillyhub/daemon""`，注释假设""WSL $USER = Windows 用户名""——错。WSL 的 $USER 是 Linux 用户名（用户 WSL 默认 root，whoami=ro","true"
"ql-20260713-003-b3d7","2026-07-13 16:37:50","WSL 下 install.sh 1c/1d 盘符转换 bug——Windows 路径只转 /e/（Git Bash 风格），WSL（/mnt/e/）下 -f 失败 → CMD→b","用户系统装了 WSL（Ubuntu+docker-desktop），CMD 敲 `bash` 解析到 WSL bash.exe（不是 Git Bash），install.sh 在 WSL 跑（IS_WSL=1）。1c（cmd.exe where node）+ 1d（powershell 注册表 PATH）都成功找到 W","false"
"ql-20260708-002-9f3a","2026-07-08 16:36:00","browse-folder 点浏览不弹窗（FolderBrowserDialog 卡死）→ 改 Shell.BrowseForFolder","daemon 端 browse_folder RPC 用 System.Windows.Forms.FolderBrowserDialog.ShowDialog。该 API 在 PowerShell 子进程（node exec 启动）里缺 WinForms 消息循环，ShowDialog 卡死不弹窗（实测 12s/20","true"
"ql-20260701-002-b3e4","2026-07-01 09:43:51","spec-workspace import 卡死 500（daemon get_spec_bundle 打包 2G .runtime/worktrees）","","true"
"ql-20260701-001-7a1c","2026-07-01 09:10:18","spec-workspace import 错误码语义透传（daemon 离线不再误报 502）","","true"
