"change","proposal.md","requirements.md","design.md","tasks.md","verify-result.md","verify-facts.json","doc_count"
"2026-08-31-machine-sillyspec-version","1","1","1","1","1","0","5"
"2026-08-31-session-queue-ux","1","1","1","1","1","0","5"
"2026-09-01-session-group-chat","1","1","1","1","1","0","5"
"2026-09-02-changes-overview-card","1","1","1","1","1","0","5"
"2026-09-04-provider-pi-onboarding","1","1","1","1","1","0","5"
"2026-09-04-session-task-execution-panel","1","1","1","1","1","0","5"
"2026-09-07-agent-liveness-states","1","1","1","1","1","0","5"
"2026-09-07-arch-large-file-split","1","1","1","1","1","1","6"
"2026-09-07-conflict-diff-compare","1","1","1","1","1","0","5"
"2026-09-08-session-turn-nav","1","1","1","1","1","1","6"
"2026-09-09-askuser-pi-cursor","1","1","1","1","1","1","6"
"2026-09-10-account-avatar-upload","1","1","1","1","1","1","6"
"2026-09-10-group-agent-direct-chat","1","1","1","1","1","1","6"
"2026-09-10-mcp-central-registry","1","1","1","1","1","1","6"
"2026-09-10-multi-provider-injection","1","1","1","1","1","1","6"
"2026-09-10-zcode-session-sqlite-read","1","1","1","1","1","1","6"
"2026-09-11-skills-central-library","1","1","1","1","1","1","6"
"2026-09-11-workspace-asset-bridges","1","1","1","1","1","1","6"
"2026-09-12-chat-turn-auto-recovery","1","1","1","1","1","1","6"
"2026-09-12-group-trigger-lock-graceful","1","1","1","1","1","1","6"
"2026-09-13-ctx-usage-all-providers","1","1","1","1","1","1","6"
"2026-09-19-tool-report-session-replay","1","1","1","1","1","1","6"
"2026-09-20-agent-log-session-replay","1","1","1","1","1","1","6"
"2026-09-20-agent-reply-no-bubble","1","1","1","1","1","1","6"
"agent-driven-change-center","1","1","1","1","0","0","4"
"change-center-redesign","1","1","1","1","0","0","4"
"change-workflow-engine","1","1","1","1","0","0","4"
"cli-platform-sync","0","0","1","1","0","0","2"
"codex-runtime-conversation-fix","0","0","1","1","0","0","2"
"ppm-milestone-detail-ui","0","0","0","1","0","0","1"
"workspace-spec-root-managed-p0","1","1","1","1","0","0","4"
